X,Y,Z,Speed_kmh
2091.4053,-2091.6865,13.5377,0.0
2099.2444,-2084.9761,13.5379,5.9
2107.0784,-2089.9880,13.5363,29.8
2108.5588,-2099.9678,13.5365,23.9
2101.1533,-2105.2769,13.4527,26.6
2091.5750,-2108.0823,13.3165,27.7
2082.9097,-2108.7744,13.3463,37.1
2072.4346,-2109.5068,13.3700,42.7
2063.2495,-2109.7654,13.3659,37.9
2052.9749,-2109.9990,13.3689,45.9
2040.3229,-2110.2029,13.3701,60.5
2025.9159,-2110.2358,13.3778,67.4
2011.4003,-2110.3257,13.3972,65.8
1998.7407,-2111.0278,13.3676,60.5
1986.9017,-2111.7009,13.3369,52.7
1977.2900,-2111.8179,13.3492,42.9
1969.9138,-2107.7815,13.3714,34.5
1963.5248,-2099.8604,13.3764,44.2
1960.5978,-2089.2283,13.3722,44.3
1961.1146,-2076.9209,13.3759,53.4
1961.4894,-2064.1062,13.3734,56.5
1962.8318,-2051.4766,13.4082,51.9
1963.0400,-2037.7289,13.3762,58.5
1962.9309,-2022.1488,13.3764,70.2
1962.8862,-2014.1334,13.3760,65.6
1962.7915,-1998.2157,13.3755,64.2
1962.7405,-1989.8300,13.3759,68.9
1962.6893,-1981.3130,13.3759,73.7
1962.6384,-1972.7133,13.3759,72.8
1962.5834,-1963.5680,13.6272,71.8
1962.5327,-1954.6814,13.7460,75.7
1962.4830,-1945.9133,13.5813,73.6
1962.4203,-1936.6816,13.3499,77.5
1962.3596,-1927.2871,13.3753,80.7
1962.3053,-1918.2394,13.3759,75.3
1962.2460,-1908.4404,13.3759,82.3
1962.1836,-1898.3762,13.3760,89.6
1962.1237,-1888.7001,13.3745,85.2
1962.0623,-1878.7435,13.3753,88.0
1962.0018,-1868.9203,13.3758,80.9
1961.9419,-1859.0768,13.3760,87.2
1961.9884,-1849.2003,13.3759,89.1
1962.0741,-1839.4441,13.3736,85.8
1962.1547,-1830.3677,13.3726,81.4
1962.2274,-1821.7828,13.3725,78.1
1962.2974,-1813.5178,13.3725,77.3
1962.4281,-1798.3080,13.3744,69.3
1962.4427,-1784.0916,13.3693,60.1
1961.8328,-1772.5936,13.3724,48.8
1960.3107,-1763.5028,13.3723,41.3
1953.9509,-1755.0370,13.3692,30.8
1942.0205,-1754.1206,13.3756,35.5
1932.1331,-1753.4478,13.3757,44.5
1920.7072,-1753.4786,13.3757,51.6
1908.3330,-1753.4971,13.3750,55.8
1895.1881,-1753.5176,13.3750,58.5
1880.8470,-1753.5402,13.3750,62.7
1866.0435,-1753.5625,13.3749,64.8
1852.0800,-1753.5845,13.3724,61.8
1840.8577,-1753.4370,13.3717,49.0
1829.9095,-1749.4194,13.3726,49.0
1822.3357,-1741.0881,13.3726,49.8
1814.4952,-1735.4668,13.3706,39.1
1803.8168,-1733.2733,13.3766,47.2
1790.9137,-1732.6235,13.3755,52.8
1776.2317,-1732.8472,13.3760,61.6
1760.1344,-1732.2642,13.3759,69.7
1751.5912,-1731.9590,13.3788,74.2
1742.2975,-1731.9612,13.3820,85.5
1733.1844,-1732.2357,13.3806,79.8
1723.6401,-1732.3978,13.3765,80.0
1713.8969,-1732.3594,13.3754,85.2
1704.0392,-1732.3024,13.3754,87.3
1694.3340,-1732.2599,13.3732,83.3
1684.6605,-1732.2214,13.3860,88.6
1674.6259,-1732.1786,13.3745,92.0
1664.3348,-1732.1329,13.3757,80.9
1654.0334,-1732.0886,13.3748,85.6
1643.7349,-1732.0447,13.3745,87.9
1633.4370,-1732.0007,13.3744,90.4
1623.1366,-1731.9568,13.3744,89.4
1612.2803,-1731.9104,13.3744,91.7
1601.9148,-1731.8662,13.3744,88.4
1591.6193,-1731.8223,13.3744,89.8
1581.3096,-1731.7782,13.3744,86.0
1570.7806,-1731.7332,13.3745,85.3
1562.1130,-1731.6962,13.3745,78.4
1551.6964,-1731.6517,13.3744,90.1
1541.3857,-1731.6078,13.3744,97.8
1530.9977,-1731.5632,13.3744,92.7
1520.7053,-1731.5193,13.3744,101.1
1510.2158,-1731.4928,13.3744,96.2
1499.6091,-1731.4741,13.3744,85.9
1489.2896,-1731.5685,13.3744,91.8
1478.8887,-1731.6248,13.3744,94.1
1468.3816,-1731.5437,13.3744,92.7
1457.9199,-1731.4451,13.3744,91.6
1447.4645,-1731.3538,13.3744,95.6
1437.1187,-1731.2748,13.3744,85.6
1426.7524,-1731.2415,13.3745,86.7
1416.3075,-1731.2858,13.3744,88.4
1406.0829,-1731.4060,13.3739,91.7
1396.2424,-1731.7891,13.3727,85.2
1386.7990,-1732.2008,13.3724,83.4
1377.6583,-1732.6141,13.3724,86.9
1368.5015,-1732.9475,13.3717,76.3
1353.4838,-1733.4109,13.3693,69.8
1340.9751,-1733.7045,13.3742,55.7
1330.5598,-1733.9354,13.3701,45.0
1322.7013,-1731.5549,13.3695,36.1
1316.6614,-1726.0033,13.3737,37.1
1313.5234,-1718.3535,13.3724,37.4
1312.4113,-1709.1116,13.3748,39.7
1312.0923,-1698.4224,13.3757,47.4
1312.0212,-1686.1698,13.3750,56.8
1312.2072,-1673.1490,13.3750,61.8
1312.3868,-1659.4203,13.3750,61.8
1312.5851,-1644.6183,13.3750,63.2
