X,Y,Z,Speed_kmh
2090.7576,-2091.8831,13.5364,0.0
2096.7690,-2085.9836,13.5382,36.3
2105.8362,-2089.9365,13.5342,39.7
2107.8005,-2099.0908,13.5385,39.0
2102.2673,-2108.5662,13.3272,45.0
2091.7039,-2109.9331,13.3271,49.3
2082.5720,-2109.6167,13.3480,55.1
2072.6538,-2108.6665,13.3755,60.6
2061.5620,-2108.0740,13.3670,68.3
2049.4863,-2108.7329,13.3475,68.7
2037.5885,-2109.4126,13.3661,70.0
2025.4871,-2110.1318,13.3787,74.7
2012.2943,-2110.5708,13.3994,79.4
1998.9153,-2110.7288,13.3733,79.7
1985.4048,-2110.9292,13.3531,76.2
1972.8381,-2110.5342,13.3688,69.4
1963.6776,-2105.7581,13.3692,56.8
1960.6807,-2097.8008,13.3694,48.4
1960.7000,-2088.6851,13.3755,56.7
1961.0013,-2078.2954,13.3758,64.3
1961.3398,-2066.7119,13.3759,71.5
1961.6665,-2054.1238,13.3894,74.9
1961.9458,-2041.1603,13.3758,78.1
1962.1251,-2027.3934,13.3751,81.1
1962.2218,-2013.5907,13.3752,83.9
1962.2401,-1998.6089,13.3752,86.6
1962.2231,-1983.4750,13.3752,89.0
1962.2080,-1967.7030,13.4771,90.9
1962.1749,-1959.7010,13.7276,91.4
1962.1289,-1951.6357,13.7370,92.5
1962.1338,-1935.9746,13.3601,94.2
1962.1451,-1927.6432,13.3747,94.4
1962.1555,-1919.3208,13.3749,94.7
1962.1642,-1911.3048,13.3749,94.9
1962.1731,-1903.1281,13.3749,95.2
1962.1827,-1894.8528,13.3749,95.4
1962.1926,-1886.5552,13.3749,95.6
1962.2020,-1878.3611,13.3749,95.8
1962.2118,-1869.9852,13.3749,96.0
1962.2212,-1861.9626,13.3749,96.2
1962.2308,-1853.4967,13.3749,96.4
1962.2404,-1845.3958,13.3749,96.6
1962.2502,-1836.9199,13.3750,96.8
1962.2688,-1820.9452,13.3736,92.0
1962.2782,-1812.8885,13.3741,92.4
1962.2920,-1797.6370,13.3725,81.5
1960.9009,-1783.8612,13.3731,76.8
1958.8345,-1770.3940,13.3743,75.7
1954.8182,-1758.5123,13.4456,74.0
1949.4919,-1746.6151,13.3938,78.1
1945.8169,-1733.6416,13.4501,80.4
1945.0012,-1719.9865,13.3738,83.9
1944.9868,-1705.1649,13.3750,88.4
1944.9940,-1689.2388,13.3751,92.9
1944.9116,-1673.0591,13.3748,96.0
1944.8445,-1665.0162,13.3748,96.8
1944.7760,-1656.5602,13.3740,96.1
1943.8402,-1640.8826,13.3726,87.7
1941.1567,-1626.9332,13.3709,79.4
1932.4266,-1617.1141,13.4352,77.3
1919.5457,-1613.3826,13.3669,80.0
1905.2605,-1611.0831,13.3749,84.6
1890.0880,-1611.0280,13.3747,88.6
1874.4911,-1611.5215,13.3750,92.9
1866.2544,-1611.6036,13.3749,94.6
1857.8910,-1611.6835,13.3748,96.1
1849.7756,-1611.7659,13.3748,97.5
1841.3951,-1611.8511,13.3748,98.9
1832.8689,-1611.7668,13.3746,100.3
1824.0432,-1611.5212,13.3659,100.8
1815.5952,-1611.2797,13.3677,100.8
