X,Y,Z,Speed_kmh
2090.6040,-2092.0889,13.5372,0.0
2097.5486,-2085.6226,13.5379,38.2
2106.6689,-2088.5291,13.5366,33.9
2111.8782,-2095.3154,13.5366,39.8
2107.7363,-2105.2263,13.4944,42.5
2100.2527,-2109.9509,13.3131,37.6
2088.2568,-2109.5552,13.3354,54.8
2078.4067,-2109.3677,13.3610,63.1
2066.8784,-2109.1492,13.3755,71.4
2054.9114,-2108.8970,13.3541,66.7
2043.0961,-2108.6951,13.3513,70.7
2030.5359,-2108.7742,13.3821,75.7
2017.2524,-2108.8206,13.4045,80.3
2003.6499,-2108.8755,13.3903,79.6
1989.6105,-2108.9019,13.3547,84.3
1975.1534,-2108.9712,13.3644,81.8
1962.7582,-2111.9658,13.3702,71.9
1955.3627,-2120.4536,13.4724,59.1
1954.9146,-2129.9817,13.5383,59.3
1951.8704,-2139.7786,13.5358,58.5
1945.4631,-2148.4390,13.5496,65.4
1936.4102,-2155.7729,13.5404,71.8
1924.9534,-2161.4663,13.5090,74.9
1912.6154,-2164.8882,13.3718,76.0
1899.6967,-2165.9114,13.3742,79.6
1885.5951,-2165.5247,13.3758,84.3
1870.4148,-2165.1404,13.3750,88.8
1854.7424,-2164.7334,13.3751,93.2
1846.5302,-2164.5215,13.3749,94.8
1830.0723,-2164.0979,13.3748,97.7
1821.4478,-2164.1411,13.3746,99.1
1813.1392,-2164.2771,13.3747,100.5
1804.2003,-2164.4233,13.3748,101.9
1795.5903,-2164.5571,13.3748,103.2
1786.9927,-2164.6907,13.3748,104.5
1778.2194,-2164.8350,13.3748,105.7
1768.8678,-2164.9900,13.3748,107.0
1759.9028,-2165.1375,13.3748,108.3
1750.7972,-2165.2871,13.3755,109.5
1741.5732,-2165.4392,13.4094,110.5
1731.9409,-2165.6006,13.7271,111.0
1722.6759,-2165.7546,14.0572,111.4
1712.9045,-2165.8938,14.7366,111.1
1703.2223,-2165.9121,15.4513,110.7
1693.5752,-2165.9155,16.3882,109.8
1684.5159,-2165.4382,17.3002,108.7
1675.0574,-2164.6353,18.3585,107.6
1665.7909,-2163.8481,19.4140,106.4
1656.5942,-2163.0879,20.5555,105.0
1648.0367,-2161.8179,21.6617,103.2
1639.3890,-2159.8469,22.8225,101.8
1630.9683,-2157.3022,24.0211,99.8
1623.0015,-2154.0725,25.1880,98.4
1615.1693,-2150.6943,26.3344,96.7
1601.8647,-2142.1748,28.4102,93.6
